canonical_match_id,provider_fixture_id,league_name,season,comp_type,kickoff_utc,cohort,raw_events_state,raw_lineups_state,execution_status
39/2021/2022-01-02/45/51,710760,EPL,2021,club,2022-01-02T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-01-02/55/66,710757,EPL,2021,club,2022-01-02T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-02-26/33/38,710823,EPL,2021,club,2022-02-26T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-01-23/49/47,710778,EPL,2021,club,2022-01-23T16:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-10-02/33/45,710622,EPL,2021,club,2021-10-02T11:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-03-19/66/42,710846,EPL,2021,club,2022-03-19T12:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-11-20/34/55,710671,EPL,2021,club,2021-11-20T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-04-23/50/38,710894,EPL,2021,club,2022-04-23T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-05-22/49/38,710930,EPL,2021,club,2022-05-22T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-03-16/42/40,710816,EPL,2021,club,2022-03-16T20:15:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-05-08/50/34,710914,EPL,2021,club,2022-05-08T15:30:00+00:00,player_history_club,pending,pending,pending
39/2022/2022-12-26/52/36,868110,EPL,2022,club,2022-12-26T15:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2022-11-12/65/52,868102,EPL,2022,club,2022-11-12T15:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-04-01/52/46,868230,EPL,2022,club,2023-04-01T14:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-02-11/35/34,868166,EPL,2022,club,2023-02-11T17:30:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-02-25/63/41,868190,EPL,2022,club,2023-02-25T15:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2022-09-03/34/52,868002,EPL,2022,club,2022-09-03T14:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-04-23/35/48,868256,EPL,2022,club,2023-04-23T13:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-05-13/49/65,868299,EPL,2022,club,2023-05-13T14:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-01-04/63/48,868132,EPL,2022,club,2023-01-04T19:45:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-05-28/41/40,868325,EPL,2022,club,2023-05-28T15:30:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-01-03/42/34,868126,EPL,2022,club,2023-01-03T19:45:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-02-11/48/49,868175,EPL,2022,club,2023-02-11T12:30:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-04-15/39/55,868255,EPL,2022,club,2023-04-15T14:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-01-21/41/66,868154,EPL,2022,club,2023-01-21T15:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-04-08/55/34,868237,EPL,2022,club,2023-04-08T14:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-04-23/34/47,868265,EPL,2022,club,2023-04-23T13:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-05-15/46/40,868303,EPL,2022,club,2023-05-15T19:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-05-21/48/63,868314,EPL,2022,club,2023-05-21T12:30:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-02-18/45/63,868180,EPL,2022,club,2023-02-18T15:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-05-13/41/36,868305,EPL,2022,club,2023-05-13T14:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-02-11/46/47,868171,EPL,2022,club,2023-02-11T15:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-05-20/35/33,868306,EPL,2022,club,2023-05-20T14:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-04-29/52/48,868280,EPL,2022,club,2023-04-29T11:30:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-02-12/50/66,868173,EPL,2022,club,2023-02-12T16:30:00+00:00,player_history_club,pending,pending,pending
39/2022/2023-04-02/48/41,868235,EPL,2022,club,2023-04-02T13:00:00+00:00,player_history_club,pending,pending,pending
39/2022/2022-12-26/66/40,868107,EPL,2022,club,2022-12-26T17:30:00+00:00,player_history_club,pending,pending,pending
39/2022/2022-08-27/42/36,867976,EPL,2022,club,2022-08-27T16:30:00+00:00,player_history_club,pending,pending,pending
